account_id,customer_name,email,phone,pan,date_of_birth,home_city,branch,account_open_date,account_balance,risk_category,kyc_status,account_status,updated_at,ingestion_timestamp,source_system
A101,Karan Mishra,karan.mishra65@example.com,9649565454,QYWXQ4587P,1998-09-09,Hyderabad,HYD-001,2018-01-11,491749.22,LOW,PENDING,ACTIVE,2026-06-19 12:04:20.726666,2026-06-19 14:14:18.437895,AZURE_SQL
A102,Megha Pawar,megha.pawar87@example.com,9437405251,FGZYU9503R,1989-02-19,Mumbai,MUM-001,2021-06-19,20766.70,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.766666,2026-06-19 14:14:18.437895,AZURE_SQL
A103,Zara Sawant,zara.sawant71@example.com,9635212070,WLUWW3585P,1988-01-05,Bengaluru,BLR-001,2024-10-23,612895.23,MEDIUM,EXPIRED,ACTIVE,2026-06-19 12:04:20.770000,2026-06-19 14:14:18.437895,AZURE_SQL
A104,Khushi Kapoor,khushi.kapoor92@example.com,9768199946,LDWWD7679R,1976-04-05,Bengaluru,BLR-001,2021-06-14,438970.68,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.773333,2026-06-19 14:14:18.437895,AZURE_SQL
A105,Zara Bhatt,zara.bhatt26@example.com,9416081829,VADWY8931W,1986-10-13,Delhi,DEL-001,2023-07-30,646559.46,LOW,EXPIRED,ACTIVE,2026-06-19 12:04:20.776666,2026-06-19 14:14:18.437895,AZURE_SQL
A106,Sohail Saxena,sohail.saxena13@example.com,9570783219,RUNLZ9840I,1987-05-12,Delhi,DEL-001,2025-01-27,117940.59,HIGH,VERIFIED,ACTIVE,2026-06-19 12:04:20.780000,2026-06-19 14:14:18.437895,AZURE_SQL
A107,Sachin Verma,sachin.verma79@example.com,9952304698,FDBOG7306S,1999-07-09,Chennai,CHN-001,2019-07-07,437097.08,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.783333,2026-06-19 14:14:18.437895,AZURE_SQL
A108,Nakul Patil,nakul.patil38@example.com,9190659470,KEDUP5318M,1965-08-20,Kolkata,KOL-001,2018-10-28,42048.92,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.786666,2026-06-19 14:14:18.437895,AZURE_SQL
A109,Amit Shah,amit.shah66@example.com,9611127328,IHIDY5815N,1992-12-17,Mumbai,MUM-001,2018-10-12,438335.81,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.790000,2026-06-19 14:14:18.437895,AZURE_SQL
A110,Heena Jadhav,heena.jadhav7@example.com,9585138951,WQMRA6288E,1972-03-12,Pune,PUN-001,2024-11-17,340858.07,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.790000,2026-06-19 14:14:18.437895,AZURE_SQL
A111,Tushar Pillai,tushar.pillai34@example.com,9598125208,MUKMI4177D,2003-01-13,Mumbai,MUM-001,2024-08-17,703017.99,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.793333,2026-06-19 14:14:18.437895,AZURE_SQL
A112,Khushi Pillai,khushi.pillai4@example.com,9477903604,WJRUF6277S,1978-03-22,Bengaluru,BLR-001,2019-06-28,82063.14,LOW,EXPIRED,ACTIVE,2026-06-19 12:04:20.796666,2026-06-19 14:14:18.437895,AZURE_SQL
A113,Megha Iyer,megha.iyer98@example.com,9482524146,SEQNH8232C,1965-08-16,Delhi,DEL-001,2020-11-18,332208.08,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.800000,2026-06-19 14:14:18.437895,AZURE_SQL
A114,Karan Kapoor,karan.kapoor88@example.com,9702560564,OYJUP6693G,1991-08-26,Delhi,DEL-001,2019-05-05,549484.31,MEDIUM,VERIFIED,DORMANT,2026-06-19 12:04:20.803333,2026-06-19 14:14:18.437895,AZURE_SQL
A115,Vishal Rao,vishal.rao46@example.com,9161880504,TLASH9717K,1991-04-09,Chennai,CHN-001,2021-11-03,158761.19,LOW,EXPIRED,ACTIVE,2026-06-19 12:04:20.806666,2026-06-19 14:14:18.437895,AZURE_SQL
A116,Karan Nair,karan.nair5@example.com,9234949974,NPZHL1437V,1974-11-07,Hyderabad,HYD-001,2024-07-15,529588.59,HIGH,VERIFIED,ACTIVE,2026-06-19 12:04:20.810000,2026-06-19 14:14:18.437895,AZURE_SQL
A117,Ritika Desai,ritika.desai30@example.com,9125084757,AOKYD6010Q,2001-10-11,Mumbai,MUM-001,2021-07-24,45948.34,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.813333,2026-06-19 14:14:18.437895,AZURE_SQL
A118,Aryan Malhotra,aryan.malhotra87@example.com,9646126839,WYXKZ9283G,1981-10-23,Delhi,DEL-001,2023-04-26,717720.80,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.816666,2026-06-19 14:14:18.437895,AZURE_SQL
A119,Zoya Desai,zoya.desai63@example.com,9105703511,YVVSU6037E,1997-01-22,Pune,PUN-001,2018-03-17,427199.02,MEDIUM,VERIFIED,ACTIVE,2026-06-19 12:04:20.820000,2026-06-19 14:14:18.437895,AZURE_SQL
A120,Anjali Chatterjee,anjali.chatterjee49@example.com,9678726398,ZNQEN0732B,1998-01-28,Bengaluru,BLR-001,2019-10-27,719230.84,LOW,VERIFIED,ACTIVE,2026-06-19 12:04:20.823333,2026-06-19 14:14:18.437895,AZURE_SQL
